id,review,sentiment
92,Saya lebih suka Canon karena kualitas warna lebih tajam.,Negatif
93,Epson punya teknologi baru yang membuat tinta lebih irit.,Positif
94,HP punya desain yang lebih kompak dibanding Epson.,Negatif
95,Printer Epson punya banyak pilihan tinta yang murah.,Positif
96,Kualitas kertas yang digunakan juga mempengaruhi hasil cetakan.,Netral
97,Epson lebih ramah lingkungan dibanding printer lain.,Positif
98,Epson lebih baik dalam cetakan hitam putih dibanding kompetitor.,Positif
99,Printer HP sering mengalami masalah koneksi Wi-Fi.,Positif
100,Canon lebih awet dibanding Epson.,Negatif
101,Epson memberikan hasil cetak yang konsisten dibanding HP.,Positif
102,Epson lebih ramah lingkungan dibanding printer lain.,Positif
103,Epson terlalu mahal dibanding kompetitor.,Negatif
104,Epson lebih baik dalam cetakan hitam putih dibanding kompetitor.,Positif
105,"HP lebih murah, tapi Epson lebih awet.",Positif
106,Brother memiliki konektivitas yang lebih baik dari Epson.,Negatif
107,Printer Epson cepat panas saat mencetak banyak dokumen.,Negatif
108,Canon dan Epson memiliki kelebihan masing-masing.,Netral
109,Saya lebih memilih Epson karena kehandalannya dalam jangka panjang.,Positif
110,Epson terlalu mahal dibanding kompetitor.,Negatif
111,Kualitas kertas yang digunakan juga mempengaruhi hasil cetakan.,Netral
112,Saya lebih suka Canon karena kualitas warna lebih tajam.,Negatif
113,Epson punya teknologi baru yang membuat tinta lebih irit.,Positif
114,Canon dan Epson memiliki kelebihan masing-masing.,Netral
115,Brother lebih baik untuk cetak dokumen teks dibanding Epson.,Negatif
116,Printer ini punya masalah dengan kecepatan cetak.,Negatif
117,Printer HP sering mengalami masalah koneksi Wi-Fi.,Positif
118,"HP lebih murah, tapi Epson lebih awet.",Positif
119,"Saya senang dengan hasil cetak Epson, warnanya sangat hidup.",Positif
120,Epson lebih baik untuk cetak foto dibanding kompetitor.,Positif
121,Canon lebih awet dibanding Epson.,Negatif
122,Brother lebih baik untuk cetak dokumen teks dibanding Epson.,Negatif
123,Brother lebih hemat listrik dibanding Epson.,Negatif
124,Printer HP sering mengalami masalah koneksi Wi-Fi.,Positif
125,Kualitas kertas yang digunakan juga mempengaruhi hasil cetakan.,Netral
126,Canon lebih awet dibanding Epson.,Negatif
127,Saya lebih memilih Epson karena kehandalannya dalam jangka panjang.,Positif
128,"Saya puas dengan kualitas Epson, lebih baik dari printer lain yang pernah saya pakai.",Positif
129,"Printer ini sering macet, saya kecewa.",Negatif
130,Epson memiliki layanan purna jual yang lebih baik dari Brother.,Positif
131,Epson memiliki layanan purna jual yang lebih baik dari Brother.,Positif
132,Kualitas kertas yang digunakan juga mempengaruhi hasil cetakan.,Netral
133,Printer HP sering mengalami masalah koneksi Wi-Fi.,Positif
134,Epson lebih mudah dirawat dibanding kompetitor.,Positif
135,"Saya kecewa dengan printer ini, kualitas cetakannya jelek.",Negatif
136,Dukungan teknis Epson lebih baik dibanding Canon.,Positif
137,"Saya senang dengan hasil cetak Epson, warnanya sangat hidup.",Positif
138,Epson unggul dalam efisiensi tinta dibanding Canon.,Positif
139,"Saya senang dengan hasil cetak Epson, warnanya sangat hidup.",Positif
140,Canon lebih bagus dari Epson dalam mencetak warna.,Negatif
141,Canon lebih bagus dari Epson dalam mencetak warna.,Negatif
142,"Epson punya banyak fitur, tapi harganya sedikit lebih mahal dari HP.",Netral
143,"Epson punya banyak fitur, tapi harganya sedikit lebih mahal dari HP.",Netral
144,Saya kecewa dengan layanan garansi dari Epson.,Negatif
145,Epson unggul dalam efisiensi tinta dibanding Canon.,Positif
146,Canon dan Epson memiliki kelebihan masing-masing.,Netral
147,Epson lebih baik dalam cetakan hitam putih dibanding kompetitor.,Positif
148,Printer Epson punya banyak pilihan tinta yang murah.,Positif
149,Epson unggul dalam efisiensi tinta dibanding Canon.,Positif
150,Epson memberikan hasil cetak yang konsisten dibanding HP.,Positif
151,"Kualitas cetak Epson sangat tajam, lebih baik dari kompetitor.",Positif
152,Epson lebih mudah dirawat dibanding kompetitor.,Positif
153,Brother lebih hemat listrik dibanding Epson.,Negatif
154,Canon memiliki lebih banyak opsi printer dibanding Epson.,Negatif
155,Printer Epson ini sangat bagus dan awet.,Positif
156,Epson lebih mudah dirawat dibanding kompetitor.,Positif
157,Epson lebih baik untuk cetak foto dibanding kompetitor.,Positif
158,"Dibandingkan dengan HP, Epson lebih irit tinta.",Positif
159,Kualitas kertas yang digunakan juga mempengaruhi hasil cetakan.,Netral
160,Printer Epson cepat panas saat mencetak banyak dokumen.,Negatif
161,Kualitas kertas yang digunakan juga mempengaruhi hasil cetakan.,Netral
162,Canon dan Epson memiliki kelebihan masing-masing.,Netral
163,Kualitas kertas yang digunakan juga mempengaruhi hasil cetakan.,Netral
164,Printer HP sering mengalami masalah koneksi Wi-Fi.,Positif
165,Canon lebih cepat dalam mencetak foto dibanding Epson.,Negatif
166,Canon lebih awet dibanding Epson.,Negatif
167,Epson lebih baik untuk cetak foto dibanding kompetitor.,Positif
168,Kualitas kertas yang digunakan juga mempengaruhi hasil cetakan.,Netral
169,"Saya menggunakan Epson selama 5 tahun, masih bekerja dengan baik.",Positif
170,"Saya senang dengan hasil cetak Epson, warnanya sangat hidup.",Positif
171,"Saya suka hasil cetak Epson, tapi harganya lumayan mahal.",Netral
172,Printer HP lebih mahal tapi kualitasnya sama saja dengan Epson.,Netral
173,Epson lebih ramah lingkungan dibanding printer lain.,Positif
174,"Saya senang dengan hasil cetak Epson, warnanya sangat hidup.",Positif
175,"Saya puas dengan kualitas Epson, lebih baik dari printer lain yang pernah saya pakai.",Positif
176,Epson unggul dalam efisiensi tinta dibanding Canon.,Positif
177,"Saya mencoba Epson dan Canon, Epson lebih stabil.",Positif
178,Epson terlalu mahal dibanding kompetitor.,Negatif
179,HP punya desain yang lebih kompak dibanding Epson.,Negatif
180,Epson punya teknologi baru yang membuat tinta lebih irit.,Positif
181,Brother lebih hemat listrik dibanding Epson.,Negatif
182,HP punya desain yang lebih kompak dibanding Epson.,Negatif
183,Printer ini punya masalah dengan kecepatan cetak.,Negatif
184,"Saya kecewa dengan printer ini, kualitas cetakannya jelek.",Negatif
185,Saya lebih memilih Epson karena kehandalannya dalam jangka panjang.,Positif
186,Epson memiliki layanan purna jual yang lebih baik dari Brother.,Positif
187,"Saya suka hasil cetak Epson, tapi harganya lumayan mahal.",Netral
188,Epson lebih baik dalam cetakan hitam putih dibanding kompetitor.,Positif
189,Brother lebih hemat listrik dibanding Epson.,Negatif
190,"HP lebih murah, tapi Epson lebih awet.",Positif
191,Printer ini punya masalah dengan kecepatan cetak.,Negatif
192,Brother memiliki konektivitas yang lebih baik dari Epson.,Negatif
193,Printer Epson ini sangat bagus dan awet.,Positif
194,"Saya suka hasil cetak Epson, tapi harganya lumayan mahal.",Netral
195,Epson lebih ramah lingkungan dibanding printer lain.,Positif
196,"Saya mencoba Epson dan Canon, Epson lebih stabil.",Positif
197,Epson terlalu mahal dibanding kompetitor.,Negatif
198,"Printer Brother lebih murah, tapi Epson lebih tahan lama.",Positif
199,"Saya mencoba Epson dan Canon, Epson lebih stabil.",Positif
200,Epson terlalu mahal dibanding kompetitor.,Negatif
201,"Saya menggunakan Epson selama 5 tahun, masih bekerja dengan baik.",Positif
202,Epson memiliki layanan purna jual yang lebih baik dari Brother.,Positif
203,"Printer ini sering macet, saya kecewa.",Negatif
204,"Saya kecewa dengan printer ini, kualitas cetakannya jelek.",Negatif
205,Xerox lebih cepat dalam mencetak dokumen besar dibanding Epson.,Negatif
206,Epson lebih baik untuk cetak foto dibanding kompetitor.,Positif
207,Printer Epson lebih hemat tinta dibanding HP.,Positif
208,Printer Epson punya banyak pilihan tinta yang murah.,Positif
209,Brother lebih hemat listrik dibanding Epson.,Negatif
210,"Saya puas dengan kualitas Epson, lebih baik dari printer lain yang pernah saya pakai.",Positif
211,Dukungan teknis Epson lebih baik dibanding Canon.,Positif
212,Epson terlalu mahal dibanding kompetitor.,Negatif
213,Kualitas kertas yang digunakan juga mempengaruhi hasil cetakan.,Netral
214,"Saya puas dengan kualitas Epson, lebih baik dari printer lain yang pernah saya pakai.",Positif
215,Epson punya teknologi baru yang membuat tinta lebih irit.,Positif
216,"Saya suka hasil cetak Epson, tapi harganya lumayan mahal.",Netral
217,HP punya desain yang lebih kompak dibanding Epson.,Negatif
218,Brother memiliki konektivitas yang lebih baik dari Epson.,Negatif
219,Printer Epson punya banyak pilihan tinta yang murah.,Positif
220,"Saya puas dengan kualitas Epson, lebih baik dari printer lain yang pernah saya pakai.",Positif
221,"Dibandingkan dengan HP, Epson lebih irit tinta.",Positif
222,"Saya senang dengan hasil cetak Epson, warnanya sangat hidup.",Positif
223,"Saya mencoba Epson dan Canon, Epson lebih stabil.",Positif
224,"Saya menggunakan Epson selama 5 tahun, masih bekerja dengan baik.",Positif
225,Xerox lebih cepat dalam mencetak dokumen besar dibanding Epson.,Negatif
226,Epson memberikan hasil cetak yang konsisten dibanding HP.,Positif
227,Printer Epson punya banyak pilihan tinta yang murah.,Positif
228,"Kualitas cetak Epson sangat tajam, lebih baik dari kompetitor.",Positif
229,Saya kecewa dengan layanan garansi dari Epson.,Negatif
230,Canon lebih awet dibanding Epson.,Negatif
231,Brother lebih baik untuk cetak dokumen teks dibanding Epson.,Negatif
232,"Saya kecewa dengan printer ini, kualitas cetakannya jelek.",Negatif
233,Saya lebih memilih Epson karena kehandalannya dalam jangka panjang.,Positif
234,Printer Epson cepat panas saat mencetak banyak dokumen.,Negatif
235,Brother lebih hemat listrik dibanding Epson.,Negatif
236,Printer Epson punya banyak pilihan tinta yang murah.,Positif
237,"HP lebih murah, tapi Epson lebih awet.",Positif
238,Canon dan Epson memiliki kelebihan masing-masing.,Netral
239,"Saya senang dengan hasil cetak Epson, warnanya sangat hidup.",Positif
240,HP punya desain yang lebih kompak dibanding Epson.,Negatif
241,"Kualitas cetak Epson sangat tajam, lebih baik dari kompetitor.",Positif
242,Printer Epson ini sangat bagus dan awet.,Positif
243,Brother lebih baik untuk cetak dokumen teks dibanding Epson.,Negatif
244,Brother lebih hemat listrik dibanding Epson.,Negatif
245,Saya kecewa dengan layanan garansi dari Epson.,Negatif
246,"HP lebih murah, tapi Epson lebih awet.",Positif
247,Printer Epson punya banyak pilihan tinta yang murah.,Positif
248,"Dibandingkan dengan HP, Epson lebih irit tinta.",Positif
249,"Saya senang dengan hasil cetak Epson, warnanya sangat hidup.",Positif
250,Xerox lebih cepat dalam mencetak dokumen besar dibanding Epson.,Negatif
251,Epson lebih ramah lingkungan dibanding printer lain.,Positif
252,"Saya kecewa dengan printer ini, kualitas cetakannya jelek.",Negatif
253,Epson punya teknologi baru yang membuat tinta lebih irit.,Positif
254,Epson lebih mudah dirawat dibanding kompetitor.,Positif
255,Epson memberikan hasil cetak yang konsisten dibanding HP.,Positif
256,Saya lebih memilih Epson karena kehandalannya dalam jangka panjang.,Positif
257,Epson lebih mudah dirawat dibanding kompetitor.,Positif
258,Epson lebih ramah lingkungan dibanding printer lain.,Positif
259,Xerox lebih cepat dalam mencetak dokumen besar dibanding Epson.,Negatif
260,"Saya mencoba Epson dan Canon, Epson lebih stabil.",Positif
261,"HP lebih murah, tapi Epson lebih awet.",Positif
262,Epson memberikan hasil cetak yang konsisten dibanding HP.,Positif
263,Kualitas kertas yang digunakan juga mempengaruhi hasil cetakan.,Netral
264,"Saya suka hasil cetak Epson, tapi harganya lumayan mahal.",Netral
265,Epson punya teknologi baru yang membuat tinta lebih irit.,Positif
266,Printer Epson ini sangat bagus dan awet.,Positif
267,Epson lebih baik dalam cetakan hitam putih dibanding kompetitor.,Positif
268,Canon dan Epson memiliki kelebihan masing-masing.,Netral
269,"Printer Brother lebih murah, tapi Epson lebih tahan lama.",Positif
270,"Saya mencoba Epson dan Canon, Epson lebih stabil.",Positif
271,Brother lebih hemat listrik dibanding Epson.,Negatif
272,Epson memiliki layanan purna jual yang lebih baik dari Brother.,Positif
273,Epson lebih baik untuk cetak foto dibanding kompetitor.,Positif
274,Epson unggul dalam efisiensi tinta dibanding Canon.,Positif
275,Printer Epson ini sangat bagus dan awet.,Positif
276,Canon dan Epson memiliki kelebihan masing-masing.,Netral
277,Canon dan Epson memiliki kelebihan masing-masing.,Netral
278,"Saya suka hasil cetak Epson, tapi harganya lumayan mahal.",Netral
279,Printer Epson ini sangat bagus dan awet.,Positif
280,Kualitas kertas yang digunakan juga mempengaruhi hasil cetakan.,Netral
281,Canon lebih bagus dari Epson dalam mencetak warna.,Negatif
282,"Epson punya banyak fitur, tapi harganya sedikit lebih mahal dari HP.",Netral
283,Xerox lebih cepat dalam mencetak dokumen besar dibanding Epson.,Negatif
284,"Kualitas cetak Epson sangat tajam, lebih baik dari kompetitor.",Positif
285,Epson lebih ramah lingkungan dibanding printer lain.,Positif
286,Saya lebih memilih Epson karena kehandalannya dalam jangka panjang.,Positif
287,Epson lebih ramah lingkungan dibanding printer lain.,Positif
288,"Kualitas cetak Epson sangat tajam, lebih baik dari kompetitor.",Positif
289,Harga printer Epson terlalu tinggi dibanding HP.,Negatif
290,Epson lebih mudah dirawat dibanding kompetitor.,Positif
291,Printer Epson ini sangat bagus dan awet.,Positif
292,Printer Epson punya banyak pilihan tinta yang murah.,Positif
293,Saya kecewa dengan layanan garansi dari Epson.,Negatif
294,Epson memiliki layanan purna jual yang lebih baik dari Brother.,Positif
295,Epson punya teknologi baru yang membuat tinta lebih irit.,Positif
296,Harga printer Epson terlalu tinggi dibanding HP.,Negatif
297,Epson unggul dalam efisiensi tinta dibanding Canon.,Positif
298,Epson punya teknologi baru yang membuat tinta lebih irit.,Positif
299,Epson lebih baik untuk cetak foto dibanding kompetitor.,Positif
300,Printer Epson punya banyak pilihan tinta yang murah.,Positif
301,Saya lebih memilih Epson karena kehandalannya dalam jangka panjang.,Positif
302,"Saya suka hasil cetak Epson, tapi harganya lumayan mahal.",Netral
303,"Saya mencoba HP dan Epson, kualitas keduanya hampir sama.",Netral
304,Harga printer Epson terlalu tinggi dibanding HP.,Negatif
305,Printer Epson lebih hemat tinta dibanding HP.,Positif
306,"HP lebih murah, tapi Epson lebih awet.",Positif
307,Epson punya teknologi baru yang membuat tinta lebih irit.,Positif
308,Xerox lebih cepat dalam mencetak dokumen besar dibanding Epson.,Negatif
309,Printer HP lebih mahal tapi kualitasnya sama saja dengan Epson.,Netral
310,Epson unggul dalam efisiensi tinta dibanding Canon.,Positif
311,Canon lebih cepat dalam mencetak foto dibanding Epson.,Negatif
312,Saya lebih memilih Epson karena kehandalannya dalam jangka panjang.,Positif
313,"Saya mencoba Epson dan Canon, Epson lebih stabil.",Positif
314,Canon dan Epson memiliki kelebihan masing-masing.,Netral
315,"Saya mencoba Epson dan Canon, Epson lebih stabil.",Positif
316,Epson lebih mudah dirawat dibanding kompetitor.,Positif
317,Canon lebih cepat dalam mencetak foto dibanding Epson.,Negatif
318,Epson lebih mudah dirawat dibanding kompetitor.,Positif
319,Printer Epson cepat panas saat mencetak banyak dokumen.,Negatif
320,"Saya menggunakan Epson selama 5 tahun, masih bekerja dengan baik.",Positif
321,"Printer ini sering macet, saya kecewa.",Negatif
322,"Saya senang dengan hasil cetak Epson, warnanya sangat hidup.",Positif
323,Canon memiliki lebih banyak opsi printer dibanding Epson.,Negatif
324,"Saya mencoba Epson dan Canon, Epson lebih stabil.",Positif
325,Printer Epson lebih hemat tinta dibanding HP.,Positif
326,Xerox lebih cepat dalam mencetak dokumen besar dibanding Epson.,Negatif
327,"Kualitas cetak Epson sangat tajam, lebih baik dari kompetitor.",Positif
328,Canon memiliki lebih banyak opsi printer dibanding Epson.,Negatif
329,Saya kecewa dengan layanan garansi dari Epson.,Negatif
330,"Printer Brother lebih murah, tapi Epson lebih tahan lama.",Positif
331,Brother lebih hemat listrik dibanding Epson.,Negatif
332,"Epson punya banyak fitur, tapi harganya sedikit lebih mahal dari HP.",Netral
333,Epson memiliki layanan purna jual yang lebih baik dari Brother.,Positif
334,"Saya puas dengan kualitas Epson, lebih baik dari printer lain yang pernah saya pakai.",Positif
335,Brother lebih baik untuk cetak dokumen teks dibanding Epson.,Negatif
336,"Saya mencoba Epson dan Canon, Epson lebih stabil.",Positif
337,Saya lebih suka Canon karena kualitas warna lebih tajam.,Negatif
338,Printer ini punya masalah dengan kecepatan cetak.,Negatif
339,Epson lebih baik untuk cetak foto dibanding kompetitor.,Positif
340,Epson lebih mudah dirawat dibanding kompetitor.,Positif
341,Printer HP sering mengalami masalah koneksi Wi-Fi.,Positif
342,Dukungan teknis Epson lebih baik dibanding Canon.,Positif
343,"Saya kecewa dengan printer ini, kualitas cetakannya jelek.",Negatif
344,Brother lebih hemat listrik dibanding Epson.,Negatif
345,Printer ini punya masalah dengan kecepatan cetak.,Negatif
346,Epson lebih ramah lingkungan dibanding printer lain.,Positif
347,"Saya mencoba HP dan Epson, kualitas keduanya hampir sama.",Netral
348,Printer Epson punya banyak pilihan tinta yang murah.,Positif
349,Canon lebih bagus dari Epson dalam mencetak warna.,Negatif
350,Dukungan teknis Epson lebih baik dibanding Canon.,Positif
351,Epson memberikan hasil cetak yang konsisten dibanding HP.,Positif
352,Canon lebih bagus dari Epson dalam mencetak warna.,Negatif
353,Epson unggul dalam efisiensi tinta dibanding Canon.,Positif
354,Epson memiliki layanan purna jual yang lebih baik dari Brother.,Positif
355,"Saya mencoba HP dan Epson, kualitas keduanya hampir sama.",Netral
356,Brother lebih baik untuk cetak dokumen teks dibanding Epson.,Negatif
357,Printer Epson lebih hemat tinta dibanding HP.,Positif
358,"Kualitas cetak Epson sangat tajam, lebih baik dari kompetitor.",Positif
359,Epson memberikan hasil cetak yang konsisten dibanding HP.,Positif
360,Epson lebih ramah lingkungan dibanding printer lain.,Positif
361,Printer Epson cepat panas saat mencetak banyak dokumen.,Negatif
362,Canon memiliki lebih banyak opsi printer dibanding Epson.,Negatif
363,Epson lebih ramah lingkungan dibanding printer lain.,Positif
364,Printer Epson ini sangat bagus dan awet.,Positif
365,"Saya menggunakan Epson selama 5 tahun, masih bekerja dengan baik.",Positif
366,"Printer ini sering macet, saya kecewa.",Negatif
367,Printer Epson ini sangat bagus dan awet.,Positif
368,Epson terlalu mahal dibanding kompetitor.,Negatif
369,"Saya kecewa dengan printer ini, kualitas cetakannya jelek.",Negatif
370,"Epson punya banyak fitur, tapi harganya sedikit lebih mahal dari HP.",Netral
371,Epson lebih mudah dirawat dibanding kompetitor.,Positif
372,Epson unggul dalam efisiensi tinta dibanding Canon.,Positif
373,Brother lebih hemat listrik dibanding Epson.,Negatif
374,Brother lebih baik untuk cetak dokumen teks dibanding Epson.,Negatif
375,Epson lebih ramah lingkungan dibanding printer lain.,Positif
376,Printer Epson cepat panas saat mencetak banyak dokumen.,Negatif
377,Canon memiliki lebih banyak opsi printer dibanding Epson.,Negatif
378,Canon memiliki lebih banyak opsi printer dibanding Epson.,Negatif
379,Epson lebih ramah lingkungan dibanding printer lain.,Positif
380,Canon lebih awet dibanding Epson.,Negatif
381,"Saya menggunakan Epson selama 5 tahun, masih bekerja dengan baik.",Positif
382,Canon lebih awet dibanding Epson.,Negatif
383,"Saya puas dengan kualitas Epson, lebih baik dari printer lain yang pernah saya pakai.",Positif
384,Canon lebih cepat dalam mencetak foto dibanding Epson.,Negatif
385,Brother lebih hemat listrik dibanding Epson.,Negatif
386,Brother lebih hemat listrik dibanding Epson.,Negatif
387,"Saya suka hasil cetak Epson, tapi harganya lumayan mahal.",Netral
388,Canon memiliki lebih banyak opsi printer dibanding Epson.,Negatif
389,"Epson punya banyak fitur, tapi harganya sedikit lebih mahal dari HP.",Netral
390,Saya lebih suka Canon karena kualitas warna lebih tajam.,Negatif
391,Epson lebih mudah dirawat dibanding kompetitor.,Positif
392,"Printer Brother lebih murah, tapi Epson lebih tahan lama.",Positif
393,"Saya menggunakan Epson selama 5 tahun, masih bekerja dengan baik.",Positif
394,Epson terlalu mahal dibanding kompetitor.,Negatif
395,"Saya menggunakan Epson selama 5 tahun, masih bekerja dengan baik.",Positif
396,"Printer ini sering macet, saya kecewa.",Negatif
397,"Printer ini sering macet, saya kecewa.",Negatif
398,Printer Epson ini sangat bagus dan awet.,Positif
399,Dukungan teknis Epson lebih baik dibanding Canon.,Positif
400,"Printer ini sering macet, saya kecewa.",Negatif
401,Saya lebih memilih Epson karena kehandalannya dalam jangka panjang.,Positif
402,Saya lebih suka Canon karena kualitas warna lebih tajam.,Negatif
403,Epson unggul dalam efisiensi tinta dibanding Canon.,Positif
404,"Saya mencoba Epson dan Canon, Epson lebih stabil.",Positif
405,Canon memiliki lebih banyak opsi printer dibanding Epson.,Negatif
406,Brother lebih hemat listrik dibanding Epson.,Negatif
407,HP punya desain yang lebih kompak dibanding Epson.,Negatif
408,Dukungan teknis Epson lebih baik dibanding Canon.,Positif
409,HP punya desain yang lebih kompak dibanding Epson.,Negatif
410,Saya lebih memilih Epson karena kehandalannya dalam jangka panjang.,Positif
411,Printer HP lebih mahal tapi kualitasnya sama saja dengan Epson.,Netral
412,"Saya kecewa dengan printer ini, kualitas cetakannya jelek.",Negatif
413,Harga printer Epson terlalu tinggi dibanding HP.,Negatif
414,Epson lebih mudah dirawat dibanding kompetitor.,Positif
415,Saya lebih suka Canon karena kualitas warna lebih tajam.,Negatif
416,Brother lebih hemat listrik dibanding Epson.,Negatif
417,"Kualitas cetak Epson sangat tajam, lebih baik dari kompetitor.",Positif
418,Brother memiliki konektivitas yang lebih baik dari Epson.,Negatif
419,HP punya desain yang lebih kompak dibanding Epson.,Negatif
420,Canon memiliki lebih banyak opsi printer dibanding Epson.,Negatif
421,Canon dan Epson memiliki kelebihan masing-masing.,Netral
