id,review,sentiment
51.0,Epson lebih ramah lingkungan dibanding printer lain.,Positif
52.0,Xerox lebih cepat dalam mencetak dokumen besar dibanding Epson.,Negatif
53.0,Epson terlalu mahal dibanding kompetitor.,Negatif
54.0,Epson unggul dalam efisiensi tinta dibanding Canon.,Positif
55.0,Canon memiliki lebih banyak opsi printer dibanding Epson.,Negatif
56.0,"Kualitas cetak Epson sangat tajam, lebih baik dari kompetitor.",Positif
57.0,"Saya mencoba Epson dan Canon, Epson lebih stabil.",Positif
58.0,"Printer Brother lebih murah, tapi Epson lebih tahan lama.",Positif
59.0,Kualitas kertas yang digunakan juga mempengaruhi hasil cetakan.,Netral
60.0,Kualitas kertas yang digunakan juga mempengaruhi hasil cetakan.,Netral
61.0,"Printer Brother lebih murah, tapi Epson lebih tahan lama.",Positif
62.0,"Epson punya banyak fitur, tapi harganya sedikit lebih mahal dari HP.",Netral
63.0,"Printer Brother lebih murah, tapi Epson lebih tahan lama.",Positif
64.0,Epson unggul dalam efisiensi tinta dibanding Canon.,Positif
65.0,"Saya mencoba Epson dan Canon, Epson lebih stabil.",Positif
66.0,Epson punya teknologi baru yang membuat tinta lebih irit.,Positif
67.0,Harga printer Epson terlalu tinggi dibanding HP.,Negatif
68.0,"Saya puas dengan kualitas Epson, lebih baik dari printer lain yang pernah saya pakai.",Positif
69.0,"HP lebih murah, tapi Epson lebih awet.",Positif
70.0,Saya lebih suka Canon karena kualitas warna lebih tajam.,Negatif
71.0,Brother lebih baik untuk cetak dokumen teks dibanding Epson.,Negatif
72.0,Kualitas kertas yang digunakan juga mempengaruhi hasil cetakan.,Netral
73.0,Xerox lebih cepat dalam mencetak dokumen besar dibanding Epson.,Negatif
74.0,Epson unggul dalam efisiensi tinta dibanding Canon.,Positif
75.0,"Printer Brother lebih murah, tapi Epson lebih tahan lama.",Positif
76.0,Saya lebih suka Canon karena kualitas warna lebih tajam.,Negatif
77.0,Epson unggul dalam efisiensi tinta dibanding Canon.,Positif
78.0,"Epson punya banyak fitur, tapi harganya sedikit lebih mahal dari HP.",Netral
79.0,Epson unggul dalam efisiensi tinta dibanding Canon.,Positif
80.0,"Saya mencoba HP dan Epson, kualitas keduanya hampir sama.",Netral
81.0,HP punya desain yang lebih kompak dibanding Epson.,Negatif
82.0,"Dibandingkan dengan HP, Epson lebih irit tinta.",Positif
83.0,"Saya suka hasil cetak Epson, tapi harganya lumayan mahal.",Netral
84.0,Saya lebih memilih Epson karena kehandalannya dalam jangka panjang.,Positif
85.0,Brother lebih hemat listrik dibanding Epson.,Negatif
86.0,Printer Epson cepat panas saat mencetak banyak dokumen.,Negatif
87.0,Printer HP lebih mahal tapi kualitasnya sama saja dengan Epson.,Netral
88.0,Epson lebih ramah lingkungan dibanding printer lain.,Positif
89.0,Harga printer Epson terlalu tinggi dibanding HP.,Negatif
90.0,"HP lebih murah, tapi Epson lebih awet.",Positif
91.0,"Saya suka hasil cetak Epson, tapi harganya lumayan mahal.",Netral
92.0,Saya lebih suka Canon karena kualitas warna lebih tajam.,Negatif
93.0,Epson punya teknologi baru yang membuat tinta lebih irit.,Positif
94.0,HP punya desain yang lebih kompak dibanding Epson.,Negatif
95.0,Printer Epson punya banyak pilihan tinta yang murah.,Positif
96.0,Kualitas kertas yang digunakan juga mempengaruhi hasil cetakan.,Netral
97.0,Epson lebih ramah lingkungan dibanding printer lain.,Positif
98.0,Epson lebih baik dalam cetakan hitam putih dibanding kompetitor.,Positif
99.0,Printer HP sering mengalami masalah koneksi Wi-Fi.,Positif
100.0,Canon lebih awet dibanding Epson.,Negatif
101.0,Epson memberikan hasil cetak yang konsisten dibanding HP.,Positif
102.0,Epson lebih ramah lingkungan dibanding printer lain.,Positif
103.0,Epson terlalu mahal dibanding kompetitor.,Negatif
104.0,Epson lebih baik dalam cetakan hitam putih dibanding kompetitor.,Positif
105.0,"HP lebih murah, tapi Epson lebih awet.",Positif
106.0,Brother memiliki konektivitas yang lebih baik dari Epson.,Negatif
107.0,Printer Epson cepat panas saat mencetak banyak dokumen.,Negatif
108.0,Canon dan Epson memiliki kelebihan masing-masing.,Netral
109.0,Saya lebih memilih Epson karena kehandalannya dalam jangka panjang.,Positif
110.0,Epson terlalu mahal dibanding kompetitor.,Negatif
111.0,Kualitas kertas yang digunakan juga mempengaruhi hasil cetakan.,Netral
112.0,Saya lebih suka Canon karena kualitas warna lebih tajam.,Negatif
113.0,Epson punya teknologi baru yang membuat tinta lebih irit.,Positif
114.0,Canon dan Epson memiliki kelebihan masing-masing.,Netral
115.0,Brother lebih baik untuk cetak dokumen teks dibanding Epson.,Negatif
116.0,Printer ini punya masalah dengan kecepatan cetak.,Negatif
117.0,Printer HP sering mengalami masalah koneksi Wi-Fi.,Positif
118.0,"HP lebih murah, tapi Epson lebih awet.",Positif
119.0,"Saya senang dengan hasil cetak Epson, warnanya sangat hidup.",Positif
120.0,Epson lebih baik untuk cetak foto dibanding kompetitor.,Positif
121.0,Canon lebih awet dibanding Epson.,Negatif
122.0,Brother lebih baik untuk cetak dokumen teks dibanding Epson.,Negatif
123.0,Brother lebih hemat listrik dibanding Epson.,Negatif
124.0,Printer HP sering mengalami masalah koneksi Wi-Fi.,Positif
125.0,Kualitas kertas yang digunakan juga mempengaruhi hasil cetakan.,Netral
126.0,Canon lebih awet dibanding Epson.,Negatif
127.0,Saya lebih memilih Epson karena kehandalannya dalam jangka panjang.,Positif
128.0,"Saya puas dengan kualitas Epson, lebih baik dari printer lain yang pernah saya pakai.",Positif
129.0,"Printer ini sering macet, saya kecewa.",Negatif
130.0,Epson memiliki layanan purna jual yang lebih baik dari Brother.,Positif
131.0,Epson memiliki layanan purna jual yang lebih baik dari Brother.,Positif
132.0,Kualitas kertas yang digunakan juga mempengaruhi hasil cetakan.,Netral
133.0,Printer HP sering mengalami masalah koneksi Wi-Fi.,Positif
134.0,Epson lebih mudah dirawat dibanding kompetitor.,Positif
135.0,"Saya kecewa dengan printer ini, kualitas cetakannya jelek.",Negatif
136.0,Dukungan teknis Epson lebih baik dibanding Canon.,Positif
137.0,"Saya senang dengan hasil cetak Epson, warnanya sangat hidup.",Positif
138.0,Epson unggul dalam efisiensi tinta dibanding Canon.,Positif
139.0,"Saya senang dengan hasil cetak Epson, warnanya sangat hidup.",Positif
140.0,Canon lebih bagus dari Epson dalam mencetak warna.,Negatif
141.0,Canon lebih bagus dari Epson dalam mencetak warna.,Negatif
142.0,"Epson punya banyak fitur, tapi harganya sedikit lebih mahal dari HP.",Netral
143.0,"Epson punya banyak fitur, tapi harganya sedikit lebih mahal dari HP.",Netral
144.0,Saya kecewa dengan layanan garansi dari Epson.,Negatif
145.0,Epson unggul dalam efisiensi tinta dibanding Canon.,Positif
146.0,Canon dan Epson memiliki kelebihan masing-masing.,Netral
147.0,Epson lebih baik dalam cetakan hitam putih dibanding kompetitor.,Positif
148.0,Printer Epson punya banyak pilihan tinta yang murah.,Positif
149.0,Epson unggul dalam efisiensi tinta dibanding Canon.,Positif
150.0,Epson memberikan hasil cetak yang konsisten dibanding HP.,Positif
151.0,"Kualitas cetak Epson sangat tajam, lebih baik dari kompetitor.",Positif
152.0,Epson lebih mudah dirawat dibanding kompetitor.,Positif
153.0,Brother lebih hemat listrik dibanding Epson.,Negatif
154.0,Canon memiliki lebih banyak opsi printer dibanding Epson.,Negatif
155.0,Printer Epson ini sangat bagus dan awet.,Positif
156.0,Epson lebih mudah dirawat dibanding kompetitor.,Positif
157.0,Epson lebih baik untuk cetak foto dibanding kompetitor.,Positif
158.0,"Dibandingkan dengan HP, Epson lebih irit tinta.",Positif
159.0,Kualitas kertas yang digunakan juga mempengaruhi hasil cetakan.,Netral
160.0,Printer Epson cepat panas saat mencetak banyak dokumen.,Negatif
161.0,Kualitas kertas yang digunakan juga mempengaruhi hasil cetakan.,Netral
162.0,Canon dan Epson memiliki kelebihan masing-masing.,Netral
163.0,Kualitas kertas yang digunakan juga mempengaruhi hasil cetakan.,Netral
164.0,Printer HP sering mengalami masalah koneksi Wi-Fi.,Positif
165.0,Canon lebih cepat dalam mencetak foto dibanding Epson.,Negatif
166.0,Canon lebih awet dibanding Epson.,Negatif
167.0,Epson lebih baik untuk cetak foto dibanding kompetitor.,Positif
168.0,Kualitas kertas yang digunakan juga mempengaruhi hasil cetakan.,Netral
169.0,"Saya menggunakan Epson selama 5 tahun, masih bekerja dengan baik.",Positif
170.0,"Saya senang dengan hasil cetak Epson, warnanya sangat hidup.",Positif
171.0,"Saya suka hasil cetak Epson, tapi harganya lumayan mahal.",Netral
172.0,Printer HP lebih mahal tapi kualitasnya sama saja dengan Epson.,Netral
173.0,Epson lebih ramah lingkungan dibanding printer lain.,Positif
174.0,"Saya senang dengan hasil cetak Epson, warnanya sangat hidup.",Positif
175.0,"Saya puas dengan kualitas Epson, lebih baik dari printer lain yang pernah saya pakai.",Positif
176.0,Epson unggul dalam efisiensi tinta dibanding Canon.,Positif
177.0,"Saya mencoba Epson dan Canon, Epson lebih stabil.",Positif
178.0,Epson terlalu mahal dibanding kompetitor.,Negatif
179.0,HP punya desain yang lebih kompak dibanding Epson.,Negatif
180.0,Epson punya teknologi baru yang membuat tinta lebih irit.,Positif
181.0,Brother lebih hemat listrik dibanding Epson.,Negatif
182.0,HP punya desain yang lebih kompak dibanding Epson.,Negatif
183.0,Printer ini punya masalah dengan kecepatan cetak.,Negatif
184.0,"Saya kecewa dengan printer ini, kualitas cetakannya jelek.",Negatif
185.0,Saya lebih memilih Epson karena kehandalannya dalam jangka panjang.,Positif
186.0,Epson memiliki layanan purna jual yang lebih baik dari Brother.,Positif
187.0,"Saya suka hasil cetak Epson, tapi harganya lumayan mahal.",Netral
188.0,Epson lebih baik dalam cetakan hitam putih dibanding kompetitor.,Positif
189.0,Brother lebih hemat listrik dibanding Epson.,Negatif
190.0,"HP lebih murah, tapi Epson lebih awet.",Positif
191.0,Printer ini punya masalah dengan kecepatan cetak.,Negatif
192.0,Brother memiliki konektivitas yang lebih baik dari Epson.,Negatif
193.0,Printer Epson ini sangat bagus dan awet.,Positif
194.0,"Saya suka hasil cetak Epson, tapi harganya lumayan mahal.",Netral
195.0,Epson lebih ramah lingkungan dibanding printer lain.,Positif
196.0,"Saya mencoba Epson dan Canon, Epson lebih stabil.",Positif
197.0,Epson terlalu mahal dibanding kompetitor.,Negatif
198.0,"Printer Brother lebih murah, tapi Epson lebih tahan lama.",Positif
199.0,"Saya mencoba Epson dan Canon, Epson lebih stabil.",Positif
200.0,Epson terlalu mahal dibanding kompetitor.,Negatif
201.0,"Saya menggunakan Epson selama 5 tahun, masih bekerja dengan baik.",Positif
202.0,Epson memiliki layanan purna jual yang lebih baik dari Brother.,Positif
203.0,"Printer ini sering macet, saya kecewa.",Negatif
204.0,"Saya kecewa dengan printer ini, kualitas cetakannya jelek.",Negatif
205.0,Xerox lebih cepat dalam mencetak dokumen besar dibanding Epson.,Negatif
206.0,Epson lebih baik untuk cetak foto dibanding kompetitor.,Positif
207.0,Printer Epson lebih hemat tinta dibanding HP.,Positif
208.0,Printer Epson punya banyak pilihan tinta yang murah.,Positif
209.0,Brother lebih hemat listrik dibanding Epson.,Negatif
210.0,"Saya puas dengan kualitas Epson, lebih baik dari printer lain yang pernah saya pakai.",Positif
211.0,Dukungan teknis Epson lebih baik dibanding Canon.,Positif
212.0,Epson terlalu mahal dibanding kompetitor.,Negatif
213.0,Kualitas kertas yang digunakan juga mempengaruhi hasil cetakan.,Netral
214.0,"Saya puas dengan kualitas Epson, lebih baik dari printer lain yang pernah saya pakai.",Positif
215.0,Epson punya teknologi baru yang membuat tinta lebih irit.,Positif
216.0,"Saya suka hasil cetak Epson, tapi harganya lumayan mahal.",Netral
217.0,HP punya desain yang lebih kompak dibanding Epson.,Negatif
218.0,Brother memiliki konektivitas yang lebih baik dari Epson.,Negatif
219.0,Printer Epson punya banyak pilihan tinta yang murah.,Positif
220.0,"Saya puas dengan kualitas Epson, lebih baik dari printer lain yang pernah saya pakai.",Positif
221.0,"Dibandingkan dengan HP, Epson lebih irit tinta.",Positif
222.0,"Saya senang dengan hasil cetak Epson, warnanya sangat hidup.",Positif
223.0,"Saya mencoba Epson dan Canon, Epson lebih stabil.",Positif
224.0,"Saya menggunakan Epson selama 5 tahun, masih bekerja dengan baik.",Positif
225.0,Xerox lebih cepat dalam mencetak dokumen besar dibanding Epson.,Negatif
226.0,Epson memberikan hasil cetak yang konsisten dibanding HP.,Positif
227.0,Printer Epson punya banyak pilihan tinta yang murah.,Positif
228.0,"Kualitas cetak Epson sangat tajam, lebih baik dari kompetitor.",Positif
229.0,Saya kecewa dengan layanan garansi dari Epson.,Negatif
230.0,Canon lebih awet dibanding Epson.,Negatif
231.0,Brother lebih baik untuk cetak dokumen teks dibanding Epson.,Negatif
232.0,"Saya kecewa dengan printer ini, kualitas cetakannya jelek.",Negatif
233.0,Saya lebih memilih Epson karena kehandalannya dalam jangka panjang.,Positif
234.0,Printer Epson cepat panas saat mencetak banyak dokumen.,Negatif
235.0,Brother lebih hemat listrik dibanding Epson.,Negatif
236.0,Printer Epson punya banyak pilihan tinta yang murah.,Positif
237.0,"HP lebih murah, tapi Epson lebih awet.",Positif
238.0,Canon dan Epson memiliki kelebihan masing-masing.,Netral
239.0,"Saya senang dengan hasil cetak Epson, warnanya sangat hidup.",Positif
240.0,HP punya desain yang lebih kompak dibanding Epson.,Negatif
241.0,"Kualitas cetak Epson sangat tajam, lebih baik dari kompetitor.",Positif
242.0,Printer Epson ini sangat bagus dan awet.,Positif
243.0,Brother lebih baik untuk cetak dokumen teks dibanding Epson.,Negatif
244.0,Brother lebih hemat listrik dibanding Epson.,Negatif
245.0,Saya kecewa dengan layanan garansi dari Epson.,Negatif
246.0,"HP lebih murah, tapi Epson lebih awet.",Positif
247.0,Printer Epson punya banyak pilihan tinta yang murah.,Positif
248.0,"Dibandingkan dengan HP, Epson lebih irit tinta.",Positif
249.0,"Saya senang dengan hasil cetak Epson, warnanya sangat hidup.",Positif
250.0,Xerox lebih cepat dalam mencetak dokumen besar dibanding Epson.,Negatif
251.0,Epson lebih ramah lingkungan dibanding printer lain.,Positif
252.0,"Saya kecewa dengan printer ini, kualitas cetakannya jelek.",Negatif
253.0,Epson punya teknologi baru yang membuat tinta lebih irit.,Positif
254.0,Epson lebih mudah dirawat dibanding kompetitor.,Positif
255.0,Epson memberikan hasil cetak yang konsisten dibanding HP.,Positif
256.0,Saya lebih memilih Epson karena kehandalannya dalam jangka panjang.,Positif
257.0,Epson lebih mudah dirawat dibanding kompetitor.,Positif
258.0,Epson lebih ramah lingkungan dibanding printer lain.,Positif
259.0,Xerox lebih cepat dalam mencetak dokumen besar dibanding Epson.,Negatif
260.0,"Saya mencoba Epson dan Canon, Epson lebih stabil.",Positif
261.0,"HP lebih murah, tapi Epson lebih awet.",Positif
262.0,Epson memberikan hasil cetak yang konsisten dibanding HP.,Positif
263.0,Kualitas kertas yang digunakan juga mempengaruhi hasil cetakan.,Netral
264.0,"Saya suka hasil cetak Epson, tapi harganya lumayan mahal.",Netral
265.0,Epson punya teknologi baru yang membuat tinta lebih irit.,Positif
266.0,Printer Epson ini sangat bagus dan awet.,Positif
267.0,Epson lebih baik dalam cetakan hitam putih dibanding kompetitor.,Positif
268.0,Canon dan Epson memiliki kelebihan masing-masing.,Netral
269.0,"Printer Brother lebih murah, tapi Epson lebih tahan lama.",Positif
270.0,"Saya mencoba Epson dan Canon, Epson lebih stabil.",Positif
271.0,Brother lebih hemat listrik dibanding Epson.,Negatif
272.0,Epson memiliki layanan purna jual yang lebih baik dari Brother.,Positif
273.0,Epson lebih baik untuk cetak foto dibanding kompetitor.,Positif
274.0,Epson unggul dalam efisiensi tinta dibanding Canon.,Positif
275.0,Printer Epson ini sangat bagus dan awet.,Positif
276.0,Canon dan Epson memiliki kelebihan masing-masing.,Netral
277.0,Canon dan Epson memiliki kelebihan masing-masing.,Netral
278.0,"Saya suka hasil cetak Epson, tapi harganya lumayan mahal.",Netral
279.0,Printer Epson ini sangat bagus dan awet.,Positif
280.0,Kualitas kertas yang digunakan juga mempengaruhi hasil cetakan.,Netral
281.0,Canon lebih bagus dari Epson dalam mencetak warna.,Negatif
282.0,"Epson punya banyak fitur, tapi harganya sedikit lebih mahal dari HP.",Netral
283.0,Xerox lebih cepat dalam mencetak dokumen besar dibanding Epson.,Negatif
284.0,"Kualitas cetak Epson sangat tajam, lebih baik dari kompetitor.",Positif
285.0,Epson lebih ramah lingkungan dibanding printer lain.,Positif
286.0,Saya lebih memilih Epson karena kehandalannya dalam jangka panjang.,Positif
287.0,Epson lebih ramah lingkungan dibanding printer lain.,Positif
288.0,"Kualitas cetak Epson sangat tajam, lebih baik dari kompetitor.",Positif
289.0,Harga printer Epson terlalu tinggi dibanding HP.,Negatif
290.0,Epson lebih mudah dirawat dibanding kompetitor.,Positif
291.0,Printer Epson ini sangat bagus dan awet.,Positif
292.0,Printer Epson punya banyak pilihan tinta yang murah.,Positif
293.0,Saya kecewa dengan layanan garansi dari Epson.,Negatif
294.0,Epson memiliki layanan purna jual yang lebih baik dari Brother.,Positif
295.0,Epson punya teknologi baru yang membuat tinta lebih irit.,Positif
296.0,Harga printer Epson terlalu tinggi dibanding HP.,Negatif
297.0,Epson unggul dalam efisiensi tinta dibanding Canon.,Positif
298.0,Epson punya teknologi baru yang membuat tinta lebih irit.,Positif
299.0,Epson lebih baik untuk cetak foto dibanding kompetitor.,Positif
300.0,Printer Epson punya banyak pilihan tinta yang murah.,Positif
301.0,Saya lebih memilih Epson karena kehandalannya dalam jangka panjang.,Positif
302.0,"Saya suka hasil cetak Epson, tapi harganya lumayan mahal.",Netral
303.0,"Saya mencoba HP dan Epson, kualitas keduanya hampir sama.",Netral
304.0,Harga printer Epson terlalu tinggi dibanding HP.,Negatif
305.0,Printer Epson lebih hemat tinta dibanding HP.,Positif
306.0,"HP lebih murah, tapi Epson lebih awet.",Positif
307.0,Epson punya teknologi baru yang membuat tinta lebih irit.,Positif
308.0,Xerox lebih cepat dalam mencetak dokumen besar dibanding Epson.,Negatif
309.0,Printer HP lebih mahal tapi kualitasnya sama saja dengan Epson.,Netral
310.0,Epson unggul dalam efisiensi tinta dibanding Canon.,Positif
311.0,Canon lebih cepat dalam mencetak foto dibanding Epson.,Negatif
312.0,Saya lebih memilih Epson karena kehandalannya dalam jangka panjang.,Positif
313.0,"Saya mencoba Epson dan Canon, Epson lebih stabil.",Positif
314.0,Canon dan Epson memiliki kelebihan masing-masing.,Netral
315.0,"Saya mencoba Epson dan Canon, Epson lebih stabil.",Positif
316.0,Epson lebih mudah dirawat dibanding kompetitor.,Positif
317.0,Canon lebih cepat dalam mencetak foto dibanding Epson.,Negatif
318.0,Epson lebih mudah dirawat dibanding kompetitor.,Positif
319.0,Printer Epson cepat panas saat mencetak banyak dokumen.,Negatif
320.0,"Saya menggunakan Epson selama 5 tahun, masih bekerja dengan baik.",Positif
321.0,"Printer ini sering macet, saya kecewa.",Negatif
322.0,"Saya senang dengan hasil cetak Epson, warnanya sangat hidup.",Positif
323.0,Canon memiliki lebih banyak opsi printer dibanding Epson.,Negatif
324.0,"Saya mencoba Epson dan Canon, Epson lebih stabil.",Positif
325.0,Printer Epson lebih hemat tinta dibanding HP.,Positif
326.0,Xerox lebih cepat dalam mencetak dokumen besar dibanding Epson.,Negatif
327.0,"Kualitas cetak Epson sangat tajam, lebih baik dari kompetitor.",Positif
328.0,Canon memiliki lebih banyak opsi printer dibanding Epson.,Negatif
329.0,Saya kecewa dengan layanan garansi dari Epson.,Negatif
330.0,"Printer Brother lebih murah, tapi Epson lebih tahan lama.",Positif
331.0,Brother lebih hemat listrik dibanding Epson.,Negatif
332.0,"Epson punya banyak fitur, tapi harganya sedikit lebih mahal dari HP.",Netral
333.0,Epson memiliki layanan purna jual yang lebih baik dari Brother.,Positif
334.0,"Saya puas dengan kualitas Epson, lebih baik dari printer lain yang pernah saya pakai.",Positif
335.0,Brother lebih baik untuk cetak dokumen teks dibanding Epson.,Negatif
336.0,"Saya mencoba Epson dan Canon, Epson lebih stabil.",Positif
337.0,Saya lebih suka Canon karena kualitas warna lebih tajam.,Negatif
338.0,Printer ini punya masalah dengan kecepatan cetak.,Negatif
339.0,Epson lebih baik untuk cetak foto dibanding kompetitor.,Positif
340.0,Epson lebih mudah dirawat dibanding kompetitor.,Positif
341.0,Printer HP sering mengalami masalah koneksi Wi-Fi.,Positif
342.0,Dukungan teknis Epson lebih baik dibanding Canon.,Positif
343.0,"Saya kecewa dengan printer ini, kualitas cetakannya jelek.",Negatif
344.0,Brother lebih hemat listrik dibanding Epson.,Negatif
345.0,Printer ini punya masalah dengan kecepatan cetak.,Negatif
346.0,Epson lebih ramah lingkungan dibanding printer lain.,Positif
347.0,"Saya mencoba HP dan Epson, kualitas keduanya hampir sama.",Netral
348.0,Printer Epson punya banyak pilihan tinta yang murah.,Positif
349.0,Canon lebih bagus dari Epson dalam mencetak warna.,Negatif
350.0,Dukungan teknis Epson lebih baik dibanding Canon.,Positif
351.0,Epson memberikan hasil cetak yang konsisten dibanding HP.,Positif
352.0,Canon lebih bagus dari Epson dalam mencetak warna.,Negatif
353.0,Epson unggul dalam efisiensi tinta dibanding Canon.,Positif
354.0,Epson memiliki layanan purna jual yang lebih baik dari Brother.,Positif
355.0,"Saya mencoba HP dan Epson, kualitas keduanya hampir sama.",Netral
356.0,Brother lebih baik untuk cetak dokumen teks dibanding Epson.,Negatif
357.0,Printer Epson lebih hemat tinta dibanding HP.,Positif
358.0,"Kualitas cetak Epson sangat tajam, lebih baik dari kompetitor.",Positif
359.0,Epson memberikan hasil cetak yang konsisten dibanding HP.,Positif
360.0,Epson lebih ramah lingkungan dibanding printer lain.,Positif
361.0,Printer Epson cepat panas saat mencetak banyak dokumen.,Negatif
362.0,Canon memiliki lebih banyak opsi printer dibanding Epson.,Negatif
363.0,Epson lebih ramah lingkungan dibanding printer lain.,Positif
364.0,Printer Epson ini sangat bagus dan awet.,Positif
365.0,"Saya menggunakan Epson selama 5 tahun, masih bekerja dengan baik.",Positif
366.0,"Printer ini sering macet, saya kecewa.",Negatif
367.0,Printer Epson ini sangat bagus dan awet.,Positif
368.0,Epson terlalu mahal dibanding kompetitor.,Negatif
369.0,"Saya kecewa dengan printer ini, kualitas cetakannya jelek.",Negatif
370.0,"Epson punya banyak fitur, tapi harganya sedikit lebih mahal dari HP.",Netral
371.0,Epson lebih mudah dirawat dibanding kompetitor.,Positif
372.0,Epson unggul dalam efisiensi tinta dibanding Canon.,Positif
373.0,Brother lebih hemat listrik dibanding Epson.,Negatif
374.0,Brother lebih baik untuk cetak dokumen teks dibanding Epson.,Negatif
375.0,Epson lebih ramah lingkungan dibanding printer lain.,Positif
376.0,Printer Epson cepat panas saat mencetak banyak dokumen.,Negatif
377.0,Canon memiliki lebih banyak opsi printer dibanding Epson.,Negatif
378.0,Canon memiliki lebih banyak opsi printer dibanding Epson.,Negatif
379.0,Epson lebih ramah lingkungan dibanding printer lain.,Positif
380.0,Canon lebih awet dibanding Epson.,Negatif
381.0,"Saya menggunakan Epson selama 5 tahun, masih bekerja dengan baik.",Positif
382.0,Canon lebih awet dibanding Epson.,Negatif
383.0,"Saya puas dengan kualitas Epson, lebih baik dari printer lain yang pernah saya pakai.",Positif
384.0,Canon lebih cepat dalam mencetak foto dibanding Epson.,Negatif
385.0,Brother lebih hemat listrik dibanding Epson.,Negatif
386.0,Brother lebih hemat listrik dibanding Epson.,Negatif
387.0,"Saya suka hasil cetak Epson, tapi harganya lumayan mahal.",Netral
388.0,Canon memiliki lebih banyak opsi printer dibanding Epson.,Negatif
389.0,"Epson punya banyak fitur, tapi harganya sedikit lebih mahal dari HP.",Netral
390.0,Saya lebih suka Canon karena kualitas warna lebih tajam.,Negatif
391.0,Epson lebih mudah dirawat dibanding kompetitor.,Positif
392.0,"Printer Brother lebih murah, tapi Epson lebih tahan lama.",Positif
393.0,"Saya menggunakan Epson selama 5 tahun, masih bekerja dengan baik.",Positif
394.0,Epson terlalu mahal dibanding kompetitor.,Negatif
395.0,"Saya menggunakan Epson selama 5 tahun, masih bekerja dengan baik.",Positif
396.0,"Printer ini sering macet, saya kecewa.",Negatif
397.0,"Printer ini sering macet, saya kecewa.",Negatif
